"操作","ID","问题","标准答案","备用答案(JSON)","分类","标签","业务域","状态","启用","版本","修改说明"
"KEEP","405","快速试效果和正式成片应该用同一个视频模型吗？","不一定。前期测试可以优先用速度更快的模型，比如 seedance-2.0-fast-official；正式成片或关键镜头再选择更稳定、更高质量的模型。","","操作流程","测试效果和正式片能用同一个视频模型吗？,试效果和最终成片该用同个视频模型不？,测试跟正式出片用同一个模型行不？,快速试效果和正式制作应该用相同模型吗？,测试阶段和正式出片要不要用不同的视频模型？","model,video","approved","1","1",""
"KEEP","406","前期测试和最终生成怎么选模型？","不一定。前期测试可以优先用速度更快的模型，比如 seedance-2.0-fast-official；正式成片或关键镜头再选择更稳定、更高质量的模型。","","操作流程","前期测试和正式成片咋选模型？,试跑阶段和正片该用哪种模型？,前期测试用 fast 模型,正式生成用啥？,测试和成片模型怎么挑？,前期试片和最终生成怎么选model？","model","approved","1","1",""
"KEEP","407","想省时间试片用哪个方向？","不一定。前期测试可以优先用速度更快的模型，比如 seedance-2.0-fast-official；正式成片或关键镜头再选择更稳定、更高质量的模型。","","操作流程","想快点试片用哪个模型？,试片省时间选哪种方案？,测试阶段用啥模型最快？,试片用seedance-fast行不？,前期测试选哪个方向省时间？","model","approved","1","1",""
"KEEP","408","视频模型里哪个适合关键剧情镜头？","对画面完成度要求高的核心镜头，可以优先考虑 kling-v3-omni-pro 或 kling-video-o1-pro。它们更适合复杂镜头、情绪戏和关键剧情片段。","","操作流程","哪个视频模型适合拍关键剧情镜头啊？,视频生成模型里哪个对重要剧情镜头表现最好？,做关键剧情镜头,用啥视频模型好？,情绪戏和关键剧情该选哪个视频模型？,哪个AI视频模型适合关键剧情镜头？","video,model","approved","1","1",""
"KEEP","409","核心剧情镜头推荐哪个模型？","对画面完成度要求高的核心镜头，可以优先考虑 kling-v3-omni-pro 或 kling-video-o1-pro。它们更适合复杂镜头、情绪戏和关键剧情片段。","","操作流程","核心剧情镜头该选哪个模型？,关键剧情镜头推荐啥模型？,剧情核心镜头用啥模型好？,重要剧情镜头该选哪个模型？,核心剧情镜头推荐用哪款模型？","model,video","approved","1","1",""
"KEEP","410","情绪戏和复杂运镜用什么模型？","对画面完成度要求高的核心镜头，可以优先考虑 kling-v3-omni-pro 或 kling-video-o1-pro。它们更适合复杂镜头、情绪戏和关键剧情片段。","","操作流程","情绪戏和复杂运镜用啥模型？,情感戏和复杂镜头推荐什么模型？,复杂运镜和情绪戏咋选模型？,情绪镜头和复杂镜头运动用哪个模型好？,情绪戏复杂运镜推荐模型？","model,video","approved","1","1",""
"KEEP","411","普通剧情镜头用哪个模型更合适？","常规剧情镜头可以先试 Wan2.7、kling-video-o1-std 或 kling-v3-omni-std。它们适合剧情预览、镜头验证和日常素材补充。","","操作流程","普通剧情镜头该用啥模型？,常规剧情镜头推荐哪个模型？,剧情镜头一般用哪个模型好？,剧情镜头选哪个模型？,普通剧情镜头用哪个模型合适啊？","model,video","approved","1","1",""
"KEEP","412","常规镜头不想太复杂怎么选模型？","常规剧情镜头可以先试 Wan2.7、kling-video-o1-std 或 kling-v3-omni-std。它们适合剧情预览、镜头验证和日常素材补充。","","操作流程","常规镜头选啥模型简单？,普通镜头不想复杂咋挑模型？,一般镜头想省事选哪个模型？,常规镜头模型怎么选不折腾？,普通镜头不想太复杂搞啥模型？","model,video","approved","1","1",""
"KEEP","413","日常短剧镜头推荐什么视频模型？","常规剧情镜头可以先试 Wan2.7、kling-video-o1-std 或 kling-v3-omni-std。它们适合剧情预览、镜头验证和日常素材补充。","","操作流程","日常短剧镜头推荐啥视频模型？,短剧镜头用哪个AI视频生成模型好？,日常剧情镜头适合什么视频工具？,拍日常短剧选哪个视频模型？,推荐几个日常短剧镜头用的视频模型","model,video","approved","1","1",""
"KEEP","414","生成带中文文字的图片用哪个模型？","建议优先尝试 gpt-image-2.0。它支持多语言文本渲染，文本可读性更高，也更适合需要文字排版、局部编辑和布局控制的图片任务。","","操作流程","生成带中文文字的图片该用啥模型？,生成带中文文字的图片用哪个工具？,带中文文字的图片用哪个模型生成？,生成带中文的图,用啥模型好？,哪个模型能生成带中文文字的图片？","image,model","approved","1","1",""
"KEEP","415","海报上有字怎么减少乱码？","建议优先尝试 gpt-image-2.0。它支持多语言文本渲染，文本可读性更高，也更适合需要文字排版、局部编辑和布局控制的图片任务。","","操作流程","海报上的字乱码咋办,海报文字显示异常怎么解决,海报里的文字乱码咋整,海报上字变乱码怎么处理,如何避免海报文字乱码","image","approved","1","1",""
